"# Columns starting with ""f_"" represent unitless mass fractions of elements in the incinerated waste. Columns starting with ""m_"" represent mass flow rates in kg/s.",,,,,,,,,
Year,f_C,f_H,f_O,f_S,f_Cl,f_Fe,f_Cu,m_air,m_waste
1959,0.217372331,0.029413391,0.166502811,0.000743014,0.002955556,0.017140596,0.000562742,18.92729028,0.986542443
1960,0.220779984,0.029889432,0.167401446,0.00075146,0.0031,0.017669054,0.000588837,18.92729028,1.119254658
1961,0.224187637,0.030365472,0.168300082,0.000759907,0.003244444,0.018197511,0.000614931,18.92729028,1.234057971
1962,0.227595289,0.030841512,0.169198717,0.000768353,0.003388889,0.018725969,0.000641026,18.92729028,1.508799172
1963,0.231002942,0.031317552,0.170097352,0.000776799,0.003533333,0.019254426,0.00066712,18.92729028,1.729710145
1964,0.234410595,0.031793592,0.170995987,0.000785246,0.003677778,0.019782884,0.000693214,18.92729028,1.907867495
1965,0.237818248,0.032269632,0.171894622,0.000793692,0.003822222,0.020311342,0.000719309,18.92729028,1.79899931
1966,0.2412259,0.032745673,0.172793257,0.000802139,0.003966667,0.020839799,0.000745403,18.92729028,1.854554865
1967,0.244633553,0.033221713,0.173691892,0.000810585,0.004111111,0.021368257,0.000771498,18.92729028,2.00320911
1968,0.248041206,0.033697753,0.174590528,0.000819032,0.004255556,0.021896714,0.000797592,18.92729028,2.096721877
1969,0.251448858,0.034173793,0.175489163,0.000827478,0.0044,0.022425172,0.000823687,18.92729028,2.075845411
1970,0.250390553,0.03403856,0.173513062,0.000826899,0.004446154,0.022084102,0.000836297,18.92729028,2.02084196
1971,0.249332248,0.033903326,0.171536961,0.00082632,0.004492308,0.021743033,0.000848907,18.92729028,2.08968254
1972,0.248273943,0.033768093,0.169560861,0.000825742,0.004538462,0.021401963,0.000861517,18.92729028,2.046238785
1973,0.247215638,0.03363286,0.16758476,0.000825163,0.004584615,0.021060893,0.000874128,18.92729028,2.090821256
1974,0.246157333,0.033497626,0.16560866,0.000824584,0.004630769,0.020719824,0.000886738,18.92729028,1.962318841
1975,0.245099028,0.033362393,0.163632559,0.000824005,0.004676923,0.020378754,0.000899348,18.92729028,1.901863354
1976,0.244040723,0.033227159,0.161656458,0.000823426,0.004723077,0.020037684,0.000911958,18.92729028,1.902657005
1977,0.242982418,0.033091926,0.159680358,0.000822848,0.004769231,0.019696615,0.000924569,18.92729028,1.977087647
1978,0.241924113,0.032956692,0.157704257,0.000822269,0.004815385,0.019355545,0.000937179,18.92729028,1.71342305
1979,0.240865807,0.032821459,0.155728156,0.00082169,0.004861538,0.019014475,0.000949789,18.92729028,1.979813665
1980,0.239807502,0.032686226,0.153752056,0.000821111,0.004907692,0.018673406,0.000962399,18.92729028,1.99478951
1981,0.238749197,0.032550992,0.151775955,0.000820532,0.004953846,0.018332336,0.000975009,18.92729028,1.850138026
1982,0.237690892,0.032415759,0.149799854,0.000819954,0.005,0.017991266,0.00098762,18.92729028,1.636887509
1983,0.239397293,0.032674288,0.151186312,0.000814676,0.0050375,0.016894508,0.000936757,18.92729028,1.651242236
1984,0.241103693,0.032932817,0.15257277,0.000809398,0.005075,0.01579775,0.000885895,18.92729028,1.784679089
1985,0.242810093,0.033191346,0.153959227,0.00080412,0.0051125,0.014700992,0.000835033,18.92729028,1.674775707
1986,0.244516494,0.033449875,0.155345685,0.000798842,0.00515,0.013604234,0.00078417,18.92729028,1.63757764
1987,0.246222894,0.033708404,0.156732143,0.000793564,0.0051875,0.012507476,0.000733308,18.92729028,1.637267081
1988,0.247929294,0.033966933,0.1581186,0.000788286,0.005225,0.011410718,0.000682446,18.92729028,1.795307108
1989,0.249635695,0.034225462,0.159505058,0.000783009,0.0052625,0.010313959,0.000631583,18.92729028,1.692822636
1990,0.251342095,0.034483991,0.160891516,0.000777731,0.0053,0.009217201,0.000580721,18.92729028,1.701345756
1991,0.253783135,0.034835001,0.159102161,0.000780079,0.005436364,0.009337168,0.000622615,18.92729028,1.666908213
1992,0.256224175,0.03518601,0.157312807,0.000782427,0.005572727,0.009457135,0.000664508,18.92729028,1.635334714
1993,0.258665216,0.035537019,0.155523452,0.000784776,0.005709091,0.009577101,0.000706402,18.92729028,1.579848171
1994,0.261106256,0.035888028,0.153734098,0.000787124,0.005845455,0.009697068,0.000748295,18.92729028,1.618357488
1995,0.263547296,0.036239037,0.151944743,0.000789473,0.005981818,0.009817035,0.000790189,18.92729028,1.599827467
1996,0.265988336,0.036590046,0.150155389,0.000791821,0.006118182,0.009937002,0.000832083,18.92729028,1.591821946
1997,0.268429376,0.036941055,0.148366034,0.000794169,0.006254545,0.010056968,0.000873976,18.92729028,1.563906142
1998,0.270870416,0.037292064,0.14657668,0.000796518,0.006390909,0.010176935,0.00091587,18.92729028,1.561732229
1999,0.273311456,0.037643074,0.144787325,0.000798866,0.006527273,0.010296902,0.000957764,18.92729028,1.572912353
2000,0.275752496,0.037994083,0.142997971,0.000801215,0.006663636,0.010416869,0.000999657,18.92729028,1.600379572
2001,0.278193537,0.038345092,0.141208616,0.000803563,0.0068,0.010536835,0.001041551,18.92729028,1.536059351
2002,0.280634577,0.038696101,0.139419262,0.000805911,0.006936364,0.010656802,0.001083445,18.92729028,1.522636301
2003,0.283075617,0.03904711,0.137629907,0.00080826,0.007072727,0.010776769,0.001125338,18.92729028,1.542960663
2004,0.285516657,0.039398119,0.135840553,0.000810608,0.007209091,0.010896735,0.001167232,18.92729028,1.589717046
2005,0.287957697,0.039749128,0.134051198,0.000812956,0.007345455,0.011016702,0.001209125,18.92729028,1.588716356
